Filename,Size,Date Modified,Date Created,Attributes
".env.example",445,134270258973170000,134270258973170000,32
".firebaserc",208,134270258973170000,134270258973170000,32
".github\copilot-instructions.md",1318,134270258973180000,134270258973180000,32
".github\workflows\ci.yml",1933,134270258973180000,134270258973180000,32
".github\workflows\deploy-functions.yml",2107,134270258973180000,134270258973180000,32
".github\workflows\deploy-hosting.yml",1185,134270258973190000,134270258973190000,32
".github\workflows\phase-7d-imported-observation-dry-run.yml",1324,134270258973190000,134270258973190000,32
".github\workflows\phase-7d1-legacy-items-field-audit.yml",1767,134270258973190000,134270258973190000,32
".github\workflows\projection-backfill-design-gate.yml",12162,134270258973190000,134270258973190000,32
".gitignore",233,134270258973190000,134270258973190000,32
"AGENTS.md",57150,134270258973200000,134270258973200000,32
"README.md",3482,134270258973210000,134270258973210000,32
"assets\.aistudio\.gitignore",2,134270258878220000,134270258878220000,32
"docs\app\bluetooth-global-identity-data-model.md",10035,134270258973210000,134270258973210000,32
"docs\app\database-design-decision-matrix.md",11495,134270258973210000,134270258973210000,32
"docs\app\database-identity-er-diagram.md",9865,134270258973210000,134270258973210000,32
"docs\app\database-structure.md",15046,134270258973210000,134270258973210000,32
"docs\app\ownerless-global-identifier-model.md",11842,134270258973210000,134270258973210000,32
"docs\architecture\data-model-er.md",5610,134270258973210000,134270258973210000,32
"docs\architecture\deterministic-uuid.md",4721,134270258973210000,134270258973210000,32
"docs\architecture\entity-fact-projection-data-model.md",27224,134270258973210000,134270258973210000,32
"docs\architecture\project-harness.md",1929,134270258973210000,134270258973210000,32
"docs\deployment\firebase-functions-deploy-safety.md",3879,134270258973210000,134270258973210000,32
"docs\development\badges.md",1022,134270258973220000,134270258973220000,32
"docs\migrations\entity-fact-projection-drift-audit.json",9220,134270258973220000,134270258973220000,32
"docs\migrations\entity-fact-projection-drift-audit.md",5747,134270258973220000,134270258973220000,32
"docs\migrations\entity-fact-projection-drift-closure-plan.json",14939,134270258973220000,134270258973220000,32
"docs\migrations\entity-fact-projection-drift-closure-plan.md",5869,134270258973220000,134270258973220000,32
"docs\migrations\entity-fact-projection-runtime-migration-plan.md",13669,134270258973220000,134270258973220000,32
"docs\migrations\legacy-items-finalization-plan.md",3395,134270258973220000,134270258973220000,32
"docs\migrations\migration-design-checklist.md",1804,134270258973220000,134270258973220000,32
"docs\migrations\observation-model-migration.md",16424,134270258973220000,134270258973220000,32
"docs\migrations\phase-1-observation-model-spec.md",16542,134270258973220000,134270258973220000,32
"docs\migrations\phase-3d-observation-flow-verification.md",3600,134270258973220000,134270258973220000,32
"docs\migrations\phase-4-read-only-diagnostics.md",3746,134270258973220000,134270258973220000,32
"docs\migrations\phase-5-dry-run-backfill.md",4662,134270258973220000,134270258973220000,32
"docs\migrations\phase-6a-imported-observation-dry-run.md",3649,134270258973220000,134270258973220000,32
"docs\migrations\phase-6b-imported-observation-execute-plan.md",7368,134270258973220000,134270258973220000,32
"docs\migrations\phase-7a-backend-imported-observation-revalidation-dry-run.md",3135,134270258973220000,134270258973220000,32
"docs\migrations\phase-7b-limited-imported-observation-execute.md",5148,134270258973220000,134270258973220000,32
"docs\migrations\phase-7c-controlled-execution-runbook.md",6893,134270258973230000,134270258973230000,32
"docs\migrations\phase-7d-github-actions-controlled-dry-run.md",3941,134270258973230000,134270258973230000,32
"docs\migrations\phase-7d1-legacy-items-field-coverage-audit.md",7855,134270258973230000,134270258973230000,32
